filename,action,close
1_aamc.us.png,0.0,157.02
2_aamc.us.png,0.0,152.81
3_aamc.us.png,1.0,151.35
4_aamc.us.png,0.0,153.27
5_aamc.us.png,-1.0,158.69
6_aamc.us.png,0.0,157.88
7_aamc.us.png,0.0,155.03
8_aamc.us.png,0.0,145.27
9_aamc.us.png,1.0,140.5
10_aamc.us.png,0.0,146.0
11_aamc.us.png,0.0,146.0
12_aamc.us.png,0.0,144.29
13_aamc.us.png,0.0,143.85
14_aamc.us.png,0.0,140.5
15_aamc.us.png,1.0,140.05
16_aamc.us.png,-1.0,140.75
17_aamc.us.png,0.0,133.63
18_aamc.us.png,1.0,131.01
19_aamc.us.png,0.0,137.99
20_aamc.us.png,0.0,144.74
21_aamc.us.png,0.0,146.47
22_aamc.us.png,0.0,147.05
23_aamc.us.png,-1.0,147.1
24_aamc.us.png,0.0,146.61
25_aamc.us.png,0.0,137.25
26_aamc.us.png,0.0,135.27
27_aamc.us.png,1.0,133.95
28_aamc.us.png,-1.0,139.13
29_aamc.us.png,0.0,138.02
30_aamc.us.png,1.0,133.1
31_aamc.us.png,0.0,135.0
32_aamc.us.png,-1.0,137.0
33_aamc.us.png,1.0,132.0
34_aamc.us.png,-1.0,132.57
35_aamc.us.png,0.0,130.45
36_aamc.us.png,1.0,130.05
37_aamc.us.png,-1.0,133.75
38_aamc.us.png,1.0,130.12
39_aamc.us.png,-1.0,132.86
40_aamc.us.png,0.0,113.98
41_aamc.us.png,0.0,105.47
42_aamc.us.png,0.0,100.01
43_aamc.us.png,0.0,96.88
44_aamc.us.png,0.0,93.0
45_aamc.us.png,0.0,79.75
46_aamc.us.png,0.0,60.01
47_aamc.us.png,0.0,43.01
48_aamc.us.png,0.0,37.7
49_aamc.us.png,0.0,34.4
50_aamc.us.png,0.0,32.8
51_aamc.us.png,1.0,30.02
52_aamc.us.png,0.0,33.4
53_aamc.us.png,-1.0,37.8
54_aamc.us.png,1.0,35.7
55_aamc.us.png,0.0,38.49
56_aamc.us.png,-1.0,39.53
57_aamc.us.png,0.0,39.0
58_aamc.us.png,0.0,35.57
59_aamc.us.png,0.0,32.6
60_aamc.us.png,0.0,30.25
61_aamc.us.png,0.0,27.22
62_aamc.us.png,1.0,25.0
63_aamc.us.png,-1.0,28.8
64_aamc.us.png,1.0,26.03
65_aamc.us.png,-1.0,27.61
66_aamc.us.png,1.0,26.64
67_aamc.us.png,-1.0,27.21
68_aamc.us.png,0.0,25.84
69_aamc.us.png,1.0,24.65
70_aamc.us.png,-1.0,25.06
71_aamc.us.png,1.0,23.8
72_aamc.us.png,0.0,24.4
73_aamc.us.png,-1.0,24.63
74_aamc.us.png,0.0,24.05
75_aamc.us.png,1.0,23.55
76_aamc.us.png,-1.0,23.95
77_aamc.us.png,0.0,23.3
78_aamc.us.png,1.0,22.98
79_aamc.us.png,0.0,24.93
80_aamc.us.png,0.0,25.5
81_aamc.us.png,0.0,28.0
82_aamc.us.png,0.0,29.4
83_aamc.us.png,0.0,32.34
84_aamc.us.png,-1.0,38.0
85_aamc.us.png,0.0,31.6
86_aamc.us.png,1.0,29.61
87_aamc.us.png,-1.0,33.35
88_aamc.us.png,0.0,29.8
89_aamc.us.png,0.0,29.36
90_aamc.us.png,0.0,28.4
91_aamc.us.png,1.0,26.73
92_aamc.us.png,-1.0,27.55
93_aamc.us.png,0.0,26.7
94_aamc.us.png,1.0,25.2
95_aamc.us.png,0.0,25.21
96_aamc.us.png,-1.0,25.5
97_aamc.us.png,1.0,23.77
98_aamc.us.png,0.0,24.6
99_aamc.us.png,0.0,26.65
100_aamc.us.png,-1.0,33.8
101_aamc.us.png,0.0,27.5
102_aamc.us.png,0.0,26.61
103_aamc.us.png,0.0,26.0
104_aamc.us.png,0.0,23.85
105_aamc.us.png,0.0,21.02
106_aamc.us.png,0.0,20.75
107_aamc.us.png,0.0,19.17
108_aamc.us.png,0.0,17.5
109_aamc.us.png,0.0,15.58
110_aamc.us.png,1.0,12.59
111_aamc.us.png,-1.0,13.21
112_aamc.us.png,0.0,13.15
113_aamc.us.png,1.0,12.0
114_aamc.us.png,0.0,13.35
115_aamc.us.png,0.0,14.12
116_aamc.us.png,0.0,14.61
117_aamc.us.png,0.0,16.61
118_aamc.us.png,-1.0,16.96
119_aamc.us.png,0.0,16.5
120_aamc.us.png,1.0,14.92
121_aamc.us.png,-1.0,16.05
122_aamc.us.png,0.0,14.65
123_aamc.us.png,0.0,13.88
124_aamc.us.png,0.0,13.01
125_aamc.us.png,0.0,12.63
126_aamc.us.png,0.0,12.5
127_aamc.us.png,0.0,12.4
128_aamc.us.png,1.0,11.34
129_aamc.us.png,0.0,13.6
130_aamc.us.png,-1.0,14.27
131_aamc.us.png,1.0,13.96
132_aamc.us.png,0.0,14.59
133_aamc.us.png,0.0,15.35
134_aamc.us.png,0.0,16.56
135_aamc.us.png,0.0,19.06
136_aamc.us.png,-1.0,20.3
137_aamc.us.png,1.0,18.01
138_aamc.us.png,-1.0,19.44
139_aamc.us.png,0.0,17.55
140_aamc.us.png,1.0,17.16
141_aamc.us.png,-1.0,20.01
142_aamc.us.png,1.0,19.92
143_aamc.us.png,-1.0,19.97
144_aamc.us.png,1.0,15.48
145_aamc.us.png,0.0,15.6896
146_aamc.us.png,-1.0,16.82
147_aamc.us.png,0.0,16.47
148_aamc.us.png,1.0,15.04
149_aamc.us.png,0.0,16.98
150_aamc.us.png,-1.0,17.07
151_aamc.us.png,0.0,17.01
152_aamc.us.png,0.0,16.38
153_aamc.us.png,1.0,15.44
154_aamc.us.png,-1.0,17.38
155_aamc.us.png,1.0,16.65
156_aamc.us.png,-1.0,16.95
157_aamc.us.png,0.0,16.35
158_aamc.us.png,0.0,15.65
159_aamc.us.png,0.0,15.45
160_aamc.us.png,0.0,15.25
161_aamc.us.png,1.0,14.97
162_aamc.us.png,0.0,15.68
163_aamc.us.png,-1.0,16.99
164_aamc.us.png,0.0,16.03
165_aamc.us.png,0.0,15.0
166_aamc.us.png,1.0,14.69
167_aamc.us.png,-1.0,15.19
168_aamc.us.png,1.0,15.05
169_aamc.us.png,0.0,15.73
170_aamc.us.png,0.0,16.95
171_aamc.us.png,-1.0,18.43
172_aamc.us.png,1.0,17.6
173_aamc.us.png,0.0,18.95
174_aamc.us.png,-1.0,19.3
175_aamc.us.png,0.0,18.36
176_aamc.us.png,0.0,17.95
177_aamc.us.png,1.0,17.64
178_aamc.us.png,-1.0,18.01
179_aamc.us.png,1.0,17.0
180_aamc.us.png,-1.0,17.3
181_aamc.us.png,0.0,17.14
182_aamc.us.png,0.0,16.89
183_aamc.us.png,0.0,15.75
184_aamc.us.png,0.0,14.21
185_aamc.us.png,0.0,13.32
186_aamc.us.png,0.0,13.2
187_aamc.us.png,1.0,13.03
188_aamc.us.png,0.0,13.15
189_aamc.us.png,-1.0,13.4
190_aamc.us.png,1.0,13.33
191_aamc.us.png,0.0,13.37
192_aamc.us.png,0.0,13.75
193_aamc.us.png,-1.0,14.25
194_aamc.us.png,0.0,14.09
195_aamc.us.png,0.0,13.98
196_aamc.us.png,0.0,13.64
197_aamc.us.png,0.0,12.9
198_aamc.us.png,0.0,12.03
199_aamc.us.png,1.0,11.77
200_aamc.us.png,-1.0,11.86
201_aamc.us.png,1.0,11.8
202_aamc.us.png,0.0,12.76
203_aamc.us.png,-1.0,14.28
204_aamc.us.png,1.0,14.15
205_aamc.us.png,-1.0,16.59
206_aamc.us.png,1.0,16.14
207_aamc.us.png,0.0,18.02
208_aamc.us.png,0.0,20.12
209_aamc.us.png,-1.0,20.23
210_aamc.us.png,1.0,19.37
211_aamc.us.png,0.0,19.865
212_aamc.us.png,0.0,19.89
213_aamc.us.png,-1.0,21.86
214_aamc.us.png,0.0,20.4
215_aamc.us.png,0.0,18.28
216_aamc.us.png,0.0,16.68
217_aamc.us.png,0.0,16.01
218_aamc.us.png,0.0,15.53
219_aamc.us.png,0.0,15.24
220_aamc.us.png,0.0,15.21
221_aamc.us.png,1.0,15.04
222_aamc.us.png,-1.0,16.75
223_aamc.us.png,0.0,15.36
224_aamc.us.png,0.0,15.28
225_aamc.us.png,0.0,13.85
226_aamc.us.png,0.0,12.83
227_aamc.us.png,1.0,12.65
228_aamc.us.png,-1.0,17.51
229_aamc.us.png,0.0,13.66
230_aamc.us.png,0.0,12.83
231_aamc.us.png,1.0,12.2
232_aamc.us.png,0.0,12.51
233_aamc.us.png,-1.0,13.1
234_aamc.us.png,0.0,12.58
235_aamc.us.png,1.0,12.54
236_aamc.us.png,0.0,12.56
237_aamc.us.png,0.0,13.32
238_aamc.us.png,0.0,13.81
239_aamc.us.png,0.0,14.02
240_aamc.us.png,0.0,16.07
241_aamc.us.png,0.0,16.97
242_aamc.us.png,0.0,18.08
243_aamc.us.png,0.0,19.08
244_aamc.us.png,0.0,19.5
245_aamc.us.png,0.0,21.32
246_aamc.us.png,0.0,22.36
247_aamc.us.png,-1.0,24.37
248_aamc.us.png,0.0,22.36
249_aamc.us.png,0.0,22.28
250_aamc.us.png,0.0,20.66
251_aamc.us.png,0.0,18.93
252_aamc.us.png,1.0,16.63
253_aamc.us.png,0.0,16.8399
254_aamc.us.png,-1.0,16.92
255_aamc.us.png,1.0,16.56
256_aamc.us.png,-1.0,17.95
257_aamc.us.png,0.0,17.61
258_aamc.us.png,0.0,17.0
259_aamc.us.png,1.0,16.03
260_aamc.us.png,-1.0,16.25
261_aamc.us.png,0.0,14.98
262_aamc.us.png,1.0,13.5
263_aamc.us.png,0.0,14.0
264_aamc.us.png,0.0,14.55
265_aamc.us.png,0.0,14.57
266_aamc.us.png,-1.0,14.792
267_aamc.us.png,0.0,13.85
268_aamc.us.png,0.0,13.71
269_aamc.us.png,0.0,13.5
270_aamc.us.png,1.0,13.43
271_aamc.us.png,-1.0,13.97
272_aamc.us.png,1.0,13.84
273_aamc.us.png,-1.0,13.91
274_aamc.us.png,1.0,13.53
275_aamc.us.png,-1.0,13.7
276_aamc.us.png,0.0,13.5
277_aamc.us.png,1.0,12.94
278_aamc.us.png,0.0,13.77
279_aamc.us.png,0.0,14.3
280_aamc.us.png,-1.0,15.2699
281_aamc.us.png,0.0,13.83
282_aamc.us.png,0.0,13.41
283_aamc.us.png,1.0,13.03
284_aamc.us.png,-1.0,13.08
285_aamc.us.png,0.0,12.86
286_aamc.us.png,1.0,12.55
287_aamc.us.png,-1.0,12.84
288_aamc.us.png,1.0,12.65
289_aamc.us.png,0.0,12.77
